COMMON_NAME,SCIENTIFIC_NAME,order,family,TipLabel,Taxonomy,Clade,BLFamilyLatin,BLFamilyEnglish,FamSequID,Order,OscSubOsc
Canada Warbler,Cardellina canadensis,Passeriformes,Parulidae (New World Warblers),Wilsonia_canadensis,BL3,P20a,Parulidae,New World warblers,171,PASSERIFORMES,Passeri
Cape May Warbler,Setophaga tigrina,Passeriformes,Parulidae (New World Warblers),Dendroica_tigrina,BL3,P20a,Parulidae,New World warblers,171,PASSERIFORMES,Passeri
Chestnut-sided Warbler,Setophaga pensylvanica,Passeriformes,Parulidae (New World Warblers),Dendroica_pensylvanica,BL3,P20a,Parulidae,New World warblers,171,PASSERIFORMES,Passeri
Common Redpoll,Acanthis flammea,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",Carduelis_flammea,BL3,P10,Fringillidae,Finches and Hawaiian honeycreepers,188,PASSERIFORMES,Passeri
Franklin's Gull,Leucophaeus pipixcan,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Larus_pipixcan,BL3,Lari,Laridae,Gulls and terns,61,CHARADRIIFORMES,NONPASSERIFORMES
Gadwall,Mareca strepera,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Anas_strepera,BL3,Anatinae,Anatidae,"Ducks, geese and swans",14,ANSERIFORMES,NONPASSERIFORMES
Hoary Redpoll,Acanthis hornemanni,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",Carduelis_hornemanni,BL3,P10,Fringillidae,Finches and Hawaiian honeycreepers,188,PASSERIFORMES,Passeri
Mourning Warbler,Geothlypis philadelphia,Passeriformes,Parulidae (New World Warblers),Oporornis_philadelphia,BL3,P20a,Parulidae,New World warblers,171,PASSERIFORMES,Passeri
Nashville Warbler,Oreothlypis ruficapilla,Passeriformes,Parulidae (New World Warblers),Vermivora_ruficapilla,BL3,P20a,Parulidae,New World warblers,171,PASSERIFORMES,Passeri
Northern Harrier,Circus hudsonius,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Circus_cyaneus,BL3,Accipitridae,Accipitridae,"Osprey, kites, hawks and eagles",36,ACCIPITRIFORMES,NONPASSERIFORMES
