COMMON_NAME,SCIENTIFIC_NAME,order,family,TipLabel,Taxonomy,Clade,BLFamilyLatin,BLFamilyEnglish,FamSequID,Order,OscSubOsc
Yellow-throated Vireo,Vireo flavifrons,Passeriformes,"Vireonidae (Vireos, Shrike-Babblers, and Erpornis)",Vireo_flavifrons,BL3,CC3,Vireonidae,Vireos and allies,141,PASSERIFORMES,Passeri
American Bittern,Botaurus lentiginosus,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",Botaurus_lentiginosus,BL3,Ardeidae,Ardeidae,Herons and egrets,25,PELECANIFORMES,NONPASSERIFORMES
Black Swan,Cygnus atratus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Cygnus_atratus,BL3,Anserinae,Anatidae,"Ducks, geese and swans",14,ANSERIFORMES,NONPASSERIFORMES
Brambling,Fringilla montifringilla,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",Fringilla_montifringilla,BL3,P10,Fringillidae,Finches and Hawaiian honeycreepers,188,PASSERIFORMES,Passeri
Chukar,Alectoris chukar,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Alectoris_chukar,BL3,Phasianidae,Phasianidae,"Grouse, pheasants and partridges",11,GALLIFORMES,NONPASSERIFORMES
Connecticut Warbler,Oporornis agilis,Passeriformes,Parulidae (New World Warblers),Oporornis_agilis,BL3,P20a,Parulidae,New World warblers,171,PASSERIFORMES,Passeri
Golden Eagle,Aquila chrysaetos,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Aquila_chrysaetos,BL3,Accipitridae,Accipitridae,"Osprey, kites, hawks and eagles",36,ACCIPITRIFORMES,NONPASSERIFORMES
Great Black-backed Gull,Larus marinus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Larus_marinus,BL3,Lari,Laridae,Gulls and terns,61,CHARADRIIFORMES,NONPASSERIFORMES
Kelp Gull,Larus dominicanus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Larus_dominicanus,BL3,Lari,Laridae,Gulls and terns,61,CHARADRIIFORMES,NONPASSERIFORMES
Lapland Longspur,Calcarius lapponicus,Passeriformes,Calcariidae (Longspurs and Snow Buntings),Calcarius_lapponicus,BL3,P11,Emberizidae,"Buntings, American sparrows and allies",192,PASSERIFORMES,Passeri
Lesser Black-backed Gull,Larus fuscus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Larus_fuscus,BL3,Lari,Laridae,Gulls and terns,61,CHARADRIIFORMES,NONPASSERIFORMES
Long-eared Owl,Asio otus,Strigiformes,Strigidae (Owls),Asio_otus,BL3,Strigidae,Strigidae,Owls,71,STRIGIFORMES,NONPASSERIFORMES
Long-tailed Duck,Clangula hyemalis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Clangula_hyemalis,BL3,Anatinae,Anatidae,"Ducks, geese and swans",14,ANSERIFORMES,NONPASSERIFORMES
Muscovy Duck,Cairina moschata,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Cairina_moschata,BL3,Anatinae,Anatidae,"Ducks, geese and swans",14,ANSERIFORMES,NONPASSERIFORMES
Red-necked Grebe,Podiceps grisegena,Podicipediformes,Podicipedidae (Grebes),Podiceps_grisegena,BL3,Podicipedidae,Podicipedidae,Grebes,21,PODICIPEDIFORMES,NONPASSERIFORMES
Short-billed Dowitcher,Limnodromus griseus,Charadriiformes,Scolopacidae (Sandpipers and Allies),Limnodromus_griseus,BL3,Scolopaci,Scolopacidae,Sandpipers and allies,59,CHARADRIIFORMES,NONPASSERIFORMES
Short-eared Owl,Asio flammeus,Strigiformes,Strigidae (Owls),Asio_flammeus,BL3,Strigidae,Strigidae,Owls,71,STRIGIFORMES,NONPASSERIFORMES
Worm-eating Warbler,Helmitheros vermivorum,Passeriformes,Parulidae (New World Warblers),Helmitheros_vermivorum,BL3,P20a,Parulidae,New World warblers,171,PASSERIFORMES,Passeri
Wood Stork,Mycteria americana,Ciconiiformes,Ciconiidae (Storks),Mycteria_americana,BL3,Ciconiidae,Ciconiidae,Storks,23,CICONIIFORMES,NONPASSERIFORMES
Black-tailed Gnatcatcher,Polioptila melanura,Passeriformes,Polioptilidae (Gnatcatchers),Polioptila_melanura,BL3,M1,Polioptilidae,Gnatcatchers,172,PASSERIFORMES,Passeri
Black Phoebe,Sayornis nigricans,Passeriformes,Tyrannidae (Tyrant Flycatchers),Sayornis_nigricans,BL3,TitTyranRest,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,Tyranni
Brewer's Sparrow,Spizella breweri,Passeriformes,Passerellidae (New World Sparrows),Spizella_breweri,BL3,P20b,Emberizidae,"Buntings, American sparrows and allies",192,PASSERIFORMES,Passeri
Broad-tailed Hummingbird,Selasphorus platycercus,Caprimulgiformes,Trochilidae (Hummingbirds),Selasphorus_platycercus,BL3,Trochilidae,Trochilidae,Hummingbirds,79,APODIFORMES,NONPASSERIFORMES
Canyon Wren,Catherpes mexicanus,Passeriformes,Troglodytidae (Wrens),Catherpes_mexicanus,BL3,M1,Troglodytidae,Wrens,162,PASSERIFORMES,Passeri
Crissal Thrasher,Toxostoma crissale,Passeriformes,Mimidae (Mockingbirds and Thrashers),Toxostoma_crissale,BL3,M4,Mimidae,Mockingbirds and thrashers,175,PASSERIFORMES,Passeri
Gambel's Quail,Callipepla gambelii,Galliformes,Odontophoridae (New World Quail),Callipepla_gambelii,BL3,Odontophoridae,Odontophoridae,New World quails,10,GALLIFORMES,NONPASSERIFORMES
Green-tailed Towhee,Pipilo chlorurus,Passeriformes,Passerellidae (New World Sparrows),Pipilo_chlorurus,BL3,P20b,Emberizidae,"Buntings, American sparrows and allies",192,PASSERIFORMES,Passeri
Lesser Nighthawk,Chordeiles acutipennis,Caprimulgiformes,Caprimulgidae (Nightjars and Allies),Chordeiles_acutipennis,BL3,Caprimulgidae,Caprimulgidae,Nightjars,75,CAPRIMULGIFORMES,NONPASSERIFORMES
Lewis's Woodpecker,Melanerpes lewis,Piciformes,Picidae (Woodpeckers),Melanerpes_lewis,BL3,Picidae,Picidae,Woodpeckers,95,PICIFORMES,NONPASSERIFORMES
Phainopepla,Phainopepla nitens,Passeriformes,Ptiliogonatidae (Silky-flycatchers),Phainopepla_nitens,BL3,M2,Bombycillidae,Waxwings,152,PASSERIFORMES,Passeri
Red-naped Sapsucker,Sphyrapicus nuchalis,Piciformes,Picidae (Woodpeckers),Sphyrapicus_nuchalis,BL3,Picidae,Picidae,Woodpeckers,95,PICIFORMES,NONPASSERIFORMES
Rock Wren,Salpinctes obsoletus,Passeriformes,Troglodytidae (Wrens),Salpinctes_obsoletus,BL3,M1,Troglodytidae,Wrens,162,PASSERIFORMES,Passeri
Scaled Quail,Callipepla squamata,Galliformes,Odontophoridae (New World Quail),Callipepla_squamata,BL3,Odontophoridae,Odontophoridae,New World quails,10,GALLIFORMES,NONPASSERIFORMES
Scott's Oriole,Icterus parisorum,Passeriformes,Icteridae (Troupials and Allies),Icterus_parisorum,BL3,P21,Icteridae,New World blackbirds,190,PASSERIFORMES,Passeri
White-throated Swift,Aeronautes saxatalis,Caprimulgiformes,Apodidae (Swifts),Aeronautes_saxatalis,BL3,Apodidae,Apodidae,Swifts,77,APODIFORMES,NONPASSERIFORMES
Black-billed Magpie,Pica hudsonia,Passeriformes,"Corvidae (Crows, Jays, and Magpies)",Pica_hudsonia,IOC27,CC8,Corvidae,Crows and jays,147,PASSERIFORMES,Passeri
Lazuli Bunting,Passerina amoena,Passeriformes,Cardinalidae (Cardinals and Allies),Passerina_amoena,BL3,P12,Emberizidae,"Buntings, American sparrows and allies",192,PASSERIFORMES,Passeri
Prairie Falcon,Falco mexicanus,Falconiformes,Falconidae (Falcons and Caracaras),Falco_mexicanus,BL3,Falconidae,Falconidae,Falcons and caracaras,35,FALCONIFORMES,NONPASSERIFORMES
Brown-headed Nuthatch,Sitta pusilla,Passeriformes,Sittidae (Nuthatches),Sitta_pusilla,BL3,M1,Sittidae,Nuthatches and Wallcreeper,173,PASSERIFORMES,Passeri
Glossy Ibis,Plegadis falcinellus,Pelecaniformes,Threskiornithidae (Ibises and Spoonbills),Plegadis_falcinellus,BL3,Threskiornithidae,Threskiornithidae,Ibises and spoonbills,24,PELECANIFORMES,NONPASSERIFORMES
Limpkin,Aramus guarauna,Gruiformes,Aramidae (Limpkin),Aramus_guarauna,BL3,Skeleton,Aramidae,Limpkin,46,GRUIFORMES,NONPASSERIFORMES
Monk Parakeet,Myiopsitta monachus,Psittaciformes,Psittacidae (New World and African Parrots),Myiopsitta_monachus,BL3,Psittacidae2,Psittacidae,Parrots,68,PSITTACIFORMES,NONPASSERIFORMES
Swainson's Warbler,Limnothlypis swainsonii,Passeriformes,Parulidae (New World Warblers),Limnothlypis_swainsonii,BL3,P20a,Parulidae,New World warblers,171,PASSERIFORMES,Passeri
Ruddy Turnstone,Arenaria interpres,Charadriiformes,Scolopacidae (Sandpipers and Allies),Arenaria_interpres,BL3,Scolopaci,Scolopacidae,Sandpipers and allies,59,CHARADRIIFORMES,NONPASSERIFORMES
Acorn Woodpecker,Melanerpes formicivorus,Piciformes,Picidae (Woodpeckers),Melanerpes_formicivorus,BL3,Picidae,Picidae,Woodpeckers,95,PICIFORMES,NONPASSERIFORMES
California Quail,Callipepla californica,Galliformes,Odontophoridae (New World Quail),Callipepla_californica,BL3,Odontophoridae,Odontophoridae,New World quails,10,GALLIFORMES,NONPASSERIFORMES
Chestnut-collared Longspur,Calcarius ornatus,Passeriformes,Calcariidae (Longspurs and Snow Buntings),Calcarius_ornatus,BL3,P11,Emberizidae,"Buntings, American sparrows and allies",192,PASSERIFORMES,Passeri
Hammond's Flycatcher,Empidonax hammondii,Passeriformes,Tyrannidae (Tyrant Flycatchers),Empidonax_hammondii,BL3,TitTyranRest,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,Tyranni
Long-billed Curlew,Numenius americanus,Charadriiformes,Scolopacidae (Sandpipers and Allies),Numenius_americanus,BL3,Scolopaci,Scolopacidae,Sandpipers and allies,59,CHARADRIIFORMES,NONPASSERIFORMES
Northern Goshawk,Accipiter gentilis,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Accipiter_gentilis,BL3,Accipitridae,Accipitridae,"Osprey, kites, hawks and eagles",36,ACCIPITRIFORMES,NONPASSERIFORMES
Red Phalarope,Phalaropus fulicarius,Charadriiformes,Scolopacidae (Sandpipers and Allies),Phalaropus_fulicarius,BL3,Scolopaci,Scolopacidae,Sandpipers and allies,59,CHARADRIIFORMES,NONPASSERIFORMES
Wrentit,Chamaea fasciata,Passeriformes,"Paradoxornithidae (Parrotbills, Wrentit, and Allies)",Chamaea_fasciata,BL3,S12,Timaliidae,Babblers and parrotbills,163,PASSERIFORMES,Passeri
Pacific Loon,Gavia pacifica,Gaviiformes,Gaviidae (Loons),Gavia_pacifica,BL3,Gaviidae,Gaviidae,Loons or divers,16,GAVIIFORMES,NONPASSERIFORMES
American Dipper,Cinclus mexicanus,Passeriformes,Cinclidae (Dippers),Cinclus_mexicanus,BL3,M3,Cinclidae,Dippers,179,PASSERIFORMES,Passeri
American Three-toed Woodpecker,Picoides dorsalis,Piciformes,Picidae (Woodpeckers),Picoides_dorsalis,BL3,Picidae,Picidae,Woodpeckers,95,PICIFORMES,NONPASSERIFORMES
Barrow's Goldeneye,Bucephala islandica,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Bucephala_islandica,BL3,Anatinae,Anatidae,"Ducks, geese and swans",14,ANSERIFORMES,NONPASSERIFORMES
Black-chinned Sparrow,Spizella atrogularis,Passeriformes,Passerellidae (New World Sparrows),Spizella_atrogularis,BL3,P20b,Emberizidae,"Buntings, American sparrows and allies",192,PASSERIFORMES,Passeri
Budgerigar,Melopsittacus undulatus,Psittaciformes,Psittaculidae (Old World Parrots),Melopsittacus_undulatus,BL3,Psittacidae1,Psittacidae,Parrots,68,PSITTACIFORMES,NONPASSERIFORMES
Cassin's Kingbird,Tyrannus vociferans,Passeriformes,Tyrannidae (Tyrant Flycatchers),Tyrannus_vociferans,BL3,TitTyranRest,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,Tyranni
Clark's Nutcracker,Nucifraga columbiana,Passeriformes,"Corvidae (Crows, Jays, and Magpies)",Nucifraga_columbiana,BL3,CC8,Corvidae,Crows and jays,147,PASSERIFORMES,Passeri
Common Poorwill,Phalaenoptilus nuttallii,Caprimulgiformes,Caprimulgidae (Nightjars and Allies),Phalaenoptilus_nuttallii,BL3,Caprimulgidae,Caprimulgidae,Nightjars,75,CAPRIMULGIFORMES,NONPASSERIFORMES
Cordilleran Flycatcher,Empidonax occidentalis,Passeriformes,Tyrannidae (Tyrant Flycatchers),Empidonax_occidentalis,BL3,TitTyranRest,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,Tyranni
Greater Pewee,Contopus pertinax,Passeriformes,Tyrannidae (Tyrant Flycatchers),Contopus_pertinax,BL3,TitTyranRest,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,Tyranni
Helmeted Guineafowl,Numida meleagris,Galliformes,Numididae (Guineafowl),Numida_meleagris,BL3,Numididae,Numididae,Guineafowl,9,GALLIFORMES,NONPASSERIFORMES
Hepatic Tanager,Piranga flava,Passeriformes,Cardinalidae (Cardinals and Allies),Piranga_flava,BL3,P12,Cardinalidae,"Grosbeaks, saltators and allies",194,PASSERIFORMES,Passeri
Indian Peafowl,Pavo cristatus,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Pavo_cristatus,BL3,Phasianidae,Phasianidae,"Grouse, pheasants and partridges",11,GALLIFORMES,NONPASSERIFORMES
Juniper Titmouse,Baeolophus ridgwayi,Passeriformes,"Paridae (Tits, Chickadees, and Titmice)",Baeolophus_ridgwayi,BL3,S2,Paridae,Tits and chickadees,154,PASSERIFORMES,Passeri
Painted Redstart,Myioborus pictus,Passeriformes,Parulidae (New World Warblers),Myioborus_pictus,BL3,P20a,Parulidae,New World warblers,171,PASSERIFORMES,Passeri
Pinyon Jay,Gymnorhinus cyanocephalus,Passeriformes,"Corvidae (Crows, Jays, and Magpies)",Gymnorhinus_cyanocephalus,BL3,CC8,Corvidae,Crows and jays,147,PASSERIFORMES,Passeri
Plumbeous Vireo,Vireo plumbeus,Passeriformes,"Vireonidae (Vireos, Shrike-Babblers, and Erpornis)",Vireo_plumbeus,BL3,CC3,Vireonidae,Vireos and allies,141,PASSERIFORMES,Passeri
Pygmy Nuthatch,Sitta pygmaea,Passeriformes,Sittidae (Nuthatches),Sitta_pygmaea,BL3,M1,Sittidae,Nuthatches and Wallcreeper,173,PASSERIFORMES,Passeri
Rosy-faced Lovebird,Agapornis roseicollis,Psittaciformes,Psittaculidae (Old World Parrots),Agapornis_roseicollis,BL3,Psittacidae1,Psittacidae,Parrots,68,PSITTACIFORMES,NONPASSERIFORMES
Sabine's Gull,Xema sabini,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Xema_sabini,BL3,Lari,Laridae,Gulls and terns,61,CHARADRIIFORMES,NONPASSERIFORMES
Sage Thrasher,Oreoscoptes montanus,Passeriformes,Mimidae (Mockingbirds and Thrashers),Oreoscoptes_montanus,BL3,M4,Mimidae,Mockingbirds and thrashers,175,PASSERIFORMES,Passeri
Swan Goose,Anser cygnoides,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Anser_cygnoides,BL3,Anserinae,Anatidae,"Ducks, geese and swans",14,ANSERIFORMES,NONPASSERIFORMES
White-tailed Kite,Elanus leucurus,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Elanus_leucurus,BL3,Accipitridae,Accipitridae,"Osprey, kites, hawks and eagles",36,ACCIPITRIFORMES,NONPASSERIFORMES
Williamson's Sapsucker,Sphyrapicus thyroideus,Piciformes,Picidae (Woodpeckers),Sphyrapicus_thyroideus,BL3,Picidae,Picidae,Woodpeckers,95,PICIFORMES,NONPASSERIFORMES
Zone-tailed Hawk,Buteo albonotatus,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Buteo_albonotatus,BL3,Accipitridae,Accipitridae,"Osprey, kites, hawks and eagles",36,ACCIPITRIFORMES,NONPASSERIFORMES
Eurasian Tree Sparrow,Passer montanus,Passeriformes,Passeridae (Old World Sparrows),Passer_montanus,BL3,P8,Passeridae,"Sparrows, snowfinches and allies",183,PASSERIFORMES,Passeri
King Rail,Rallus elegans,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)",Rallus_elegans,BL3,Rallidae,Rallidae,"Rails, crakes and allies",42,GRUIFORMES,NONPASSERIFORMES
Harlequin Duck,Histrionicus histrionicus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Histrionicus_histrionicus,BL3,Anatinae,Anatidae,"Ducks, geese and swans",14,ANSERIFORMES,NONPASSERIFORMES
Brown-crested Flycatcher,Myiarchus tyrannulus,Passeriformes,Tyrannidae (Tyrant Flycatchers),Myiarchus_tyrannulus,BL3,TitTyranRest,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,Tyranni
Crested Caracara,Caracara cheriway,Falconiformes,Falconidae (Falcons and Caracaras),Caracara_cheriway,BL3,Falconidae,Falconidae,Falcons and caracaras,35,FALCONIFORMES,NONPASSERIFORMES
Great Kiskadee,Pitangus sulphuratus,Passeriformes,Tyrannidae (Tyrant Flycatchers),Pitangus_sulphuratus,BL3,TitTyranRest,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,Tyranni
Green Jay,Cyanocorax yncas,Passeriformes,"Corvidae (Crows, Jays, and Magpies)",Cyanocorax_yncas,BL3,CC8,Corvidae,Crows and jays,147,PASSERIFORMES,Passeri
Red Knot,Calidris canutus,Charadriiformes,Scolopacidae (Sandpipers and Allies),Calidris_canutus,BL3,Scolopaci,Scolopacidae,Sandpipers and allies,59,CHARADRIIFORMES,NONPASSERIFORMES
Allen's Hummingbird,Selasphorus sasin,Caprimulgiformes,Trochilidae (Hummingbirds),Selasphorus_sasin,BL3,Trochilidae,Trochilidae,Hummingbirds,79,APODIFORMES,NONPASSERIFORMES
Broad-billed Hummingbird,Cynanthus latirostris,Caprimulgiformes,Trochilidae (Hummingbirds),Cynanthus_latirostris,BL3,Trochilidae,Trochilidae,Hummingbirds,79,APODIFORMES,NONPASSERIFORMES
Costa's Hummingbird,Calypte costae,Caprimulgiformes,Trochilidae (Hummingbirds),Calypte_costae,BL3,Trochilidae,Trochilidae,Hummingbirds,79,APODIFORMES,NONPASSERIFORMES
Lucifer Hummingbird,Calothorax lucifer,Caprimulgiformes,Trochilidae (Hummingbirds),Calothorax_lucifer,BL3,Trochilidae,Trochilidae,Hummingbirds,79,APODIFORMES,NONPASSERIFORMES
Mountain Plover,Charadrius montanus,Charadriiformes,Charadriidae (Plovers and Lapwings),Charadrius_montanus,BL3,Charadrii,Charadriidae,Plovers,54,CHARADRIIFORMES,NONPASSERIFORMES
Black-legged Kittiwake,Rissa tridactyla,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Rissa_tridactyla,BL3,Lari,Laridae,Gulls and terns,61,CHARADRIIFORMES,NONPASSERIFORMES
Black Oystercatcher,Haematopus bachmani,Charadriiformes,Haematopodidae (Oystercatchers),Haematopus_bachmani,BL3,Charadrii,Haematopodidae,Oystercatchers,50,CHARADRIIFORMES,NONPASSERIFORMES
Black Turnstone,Arenaria melanocephala,Charadriiformes,Scolopacidae (Sandpipers and Allies),Arenaria_melanocephala,BL3,Scolopaci,Scolopacidae,Sandpipers and allies,59,CHARADRIIFORMES,NONPASSERIFORMES
King Eider,Somateria spectabilis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Somateria_spectabilis,BL3,Anatinae,Anatidae,"Ducks, geese and swans",14,ANSERIFORMES,NONPASSERIFORMES
Rock Sandpiper,Calidris ptilocnemis,Charadriiformes,Scolopacidae (Sandpipers and Allies),Calidris_ptilocnemis,BL3,Scolopaci,Scolopacidae,Sandpipers and allies,59,CHARADRIIFORMES,NONPASSERIFORMES
Yellow-billed Loon,Gavia adamsii,Gaviiformes,Gaviidae (Loons),Gavia_adamsii,BL3,Gaviidae,Gaviidae,Loons or divers,16,GAVIIFORMES,NONPASSERIFORMES
Least Grebe,Tachybaptus dominicus,Podicipediformes,Podicipedidae (Grebes),Tachybaptus_dominicus,BL3,Podicipedidae,Podicipedidae,Grebes,21,PODICIPEDIFORMES,NONPASSERIFORMES
Mandarin Duck,Aix galericulata,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Aix_galericulata,BL3,Anatinae,Anatidae,"Ducks, geese and swans",14,ANSERIFORMES,NONPASSERIFORMES
Slaty-backed Gull,Larus schistisagus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Larus_schistisagus,BL3,Lari,Laridae,Gulls and terns,61,CHARADRIIFORMES,NONPASSERIFORMES
Spotted Redshank,Tringa erythropus,Charadriiformes,Scolopacidae (Sandpipers and Allies),Tringa_erythropus,BL3,Scolopaci,Scolopacidae,Sandpipers and allies,59,CHARADRIIFORMES,NONPASSERIFORMES
Black Rail,Laterallus jamaicensis,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)",Laterallus_jamaicensis,BL3,Rallidae,Rallidae,"Rails, crakes and allies",42,GRUIFORMES,NONPASSERIFORMES
California Thrasher,Toxostoma redivivum,Passeriformes,Mimidae (Mockingbirds and Thrashers),Toxostoma_redivivum,BL3,M4,Mimidae,Mockingbirds and thrashers,175,PASSERIFORMES,Passeri
Oak Titmouse,Baeolophus inornatus,Passeriformes,"Paridae (Tits, Chickadees, and Titmice)",Baeolophus_inornatus,BL3,S2,Paridae,Tits and chickadees,154,PASSERIFORMES,Passeri
Pin-tailed Whydah,Vidua macroura,Passeriformes,Viduidae (Indigobirds),Vidua_macroura,BL3,P7,Viduidae,Indigobirds and allies,185,PASSERIFORMES,Passeri
Rose-ringed Parakeet,Psittacula krameri,Psittaciformes,Psittaculidae (Old World Parrots),Psittacula_krameri,BL3,Psittacidae1,Psittacidae,Parrots,68,PSITTACIFORMES,NONPASSERIFORMES
Tufted Duck,Aythya fuligula,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Aythya_fuligula,BL3,Anatinae,Anatidae,"Ducks, geese and swans",14,ANSERIFORMES,NONPASSERIFORMES
Yellow-billed Magpie,Pica nuttalli,Passeriformes,"Corvidae (Crows, Jays, and Magpies)",Pica_nuttalli,BL3,CC8,Corvidae,Crows and jays,147,PASSERIFORMES,Passeri
Zebra Finch,Taeniopygia guttata,Passeriformes,Estrildidae (Waxbills and Allies),Taeniopygia_guttata,BL3,P7,Estrildidae,"Waxbills, grass finches, munias and allies",169,PASSERIFORMES,Passeri
American Oystercatcher,Haematopus palliatus,Charadriiformes,Haematopodidae (Oystercatchers),Haematopus_palliatus,BL3,Charadrii,Haematopodidae,Oystercatchers,50,CHARADRIIFORMES,NONPASSERIFORMES
Black Skimmer,Rynchops niger,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Rynchops_niger,BL3,Lari,Laridae,Gulls and terns,61,CHARADRIIFORMES,NONPASSERIFORMES
Buff-bellied Hummingbird,Amazilia yucatanensis,Caprimulgiformes,Trochilidae (Hummingbirds),Amazilia_yucatanensis,BL3,Trochilidae,Trochilidae,Hummingbirds,79,APODIFORMES,NONPASSERIFORMES
Reddish Egret,Egretta rufescens,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",Egretta_rufescens,BL3,Ardeidae,Ardeidae,Herons and egrets,25,PELECANIFORMES,NONPASSERIFORMES
Wilson's Plover,Charadrius wilsonia,Charadriiformes,Charadriidae (Plovers and Lapwings),Charadrius_wilsonia,BL3,Charadrii,Charadriidae,Plovers,54,CHARADRIIFORMES,NONPASSERIFORMES
Collared Finchbill,Spizixos semitorques,Passeriformes,Pycnonotidae (Bulbuls),Spizixos_semitorques,BL3,S9,Pycnonotidae,Bulbuls,160,PASSERIFORMES,Passeri
Egyptian Goose,Alopochen aegyptiaca,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Alopochen_aegyptiaca,BL3,Anatinae,Anatidae,"Ducks, geese and swans",14,ANSERIFORMES,NONPASSERIFORMES
Piping Plover,Charadrius melodus,Charadriiformes,Charadriidae (Plovers and Lapwings),Charadrius_melodus,BL3,Charadrii,Charadriidae,Plovers,54,CHARADRIIFORMES,NONPASSERIFORMES
White-cheeked Pintail,Anas bahamensis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Anas_bahamensis,BL3,Anatinae,Anatidae,"Ducks, geese and swans",14,ANSERIFORMES,NONPASSERIFORMES
Black-tailed Gull,Larus crassirostris,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Larus_crassirostris,BL3,Lari,Laridae,Gulls and terns,61,CHARADRIIFORMES,NONPASSERIFORMES
Purple Sandpiper,Calidris maritima,Charadriiformes,Scolopacidae (Sandpipers and Allies),Calidris_maritima,BL3,Scolopaci,Scolopacidae,Sandpipers and allies,59,CHARADRIIFORMES,NONPASSERIFORMES
Dusky Grouse,Dendragapus obscurus,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Dendragapus_obscurus,BL3,Phasianidae,Phasianidae,"Grouse, pheasants and partridges",11,GALLIFORMES,NONPASSERIFORMES
Arctic Tern,Sterna paradisaea,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Sterna_paradisaea,BL3,Lari,Laridae,Gulls and terns,61,CHARADRIIFORMES,NONPASSERIFORMES
Sharp-tailed Sandpiper,Calidris acuminata,Charadriiformes,Scolopacidae (Sandpipers and Allies),Calidris_acuminata,BL3,Scolopaci,Scolopacidae,Sandpipers and allies,59,CHARADRIIFORMES,NONPASSERIFORMES
Tropical Kingbird,Tyrannus melancholicus,Passeriformes,Tyrannidae (Tyrant Flycatchers),Tyrannus_melancholicus,BL3,TitTyranRest,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,Tyranni
Crested Duck,Lophonetta specularioides,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Lophonetta_specularioides,BL3,Anatinae,Anatidae,"Ducks, geese and swans",14,ANSERIFORMES,NONPASSERIFORMES
Red-crested Cardinal,Paroaria coronata,Passeriformes,Thraupidae (Tanagers and Allies),Paroaria_coronata,BL3,P17P18,Emberizidae,"Buntings, American sparrows and allies",192,PASSERIFORMES,Passeri
Saffron Finch,Sicalis flaveola,Passeriformes,Thraupidae (Tanagers and Allies),Sicalis_flaveola,BL3,P13P14P16,Emberizidae,"Buntings, American sparrows and allies",192,PASSERIFORMES,Passeri
Whooper Swan,Cygnus cygnus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Cygnus_cygnus,BL3,Anserinae,Anatidae,"Ducks, geese and swans",14,ANSERIFORMES,NONPASSERIFORMES
Whooping Crane,Grus americana,Gruiformes,Gruidae (Cranes),Grus_americana,BL3,Gruidae,Gruidae,Cranes,45,GRUIFORMES,NONPASSERIFORMES
Bar-tailed Godwit,Limosa lapponica,Charadriiformes,Scolopacidae (Sandpipers and Allies),Limosa_lapponica,BL3,Scolopaci,Scolopacidae,Sandpipers and allies,59,CHARADRIIFORMES,NONPASSERIFORMES
Bicknell's Thrush,Catharus bicknelli,Passeriformes,Turdidae (Thrushes and Allies),Catharus_bicknelli,BL3,M5,Turdidae,Thrushes,178,PASSERIFORMES,Passeri
Common Eider,Somateria mollissima,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Somateria_mollissima,BL3,Anatinae,Anatidae,"Ducks, geese and swans",14,ANSERIFORMES,NONPASSERIFORMES
