city,state_name,lat,lng,population,distance.to.coast_km,total_richness,total_lists,Area_km2,Included_in_analysis
Madisonville_KY,Kentucky,37.341,-87.5033,24565,634.8633209281123,169,718,48964.418,Yes
Jamestown_NY,New York,42.0975,-79.2366,41492,302.7767732261469,206,1469,49243.541,Yes
Sylacauga_AL,Alabama,33.1779,-86.2606,17696,339.09183112035345,73,31,49342.092,No
Roseburg_OR,Oregon,43.2228,-123.3519,44176,51.590116289217775,190,1998,49865.666,Yes
Lockport_NY,New York,43.1698,-78.6956,34859,343.30403359442147,135,264,49929.554,Yes
Cañon City_CO,Colorado,38.443,-105.2201,27600,1054.0178122761167,257,2960,50261.262,Yes
Del Rio_TX,Texas,29.3706,-100.8798,44414,289.1198568474111,199,369,50267.662,Yes
Laurel_MS,Mississippi,31.6956,-89.1448,26433,122.53174874912825,26,6,50402.225,No
Bozeman_MT,Montana,45.6828,-111.0545,52391,649.1171341656076,251,8388,50454.93,Yes
Jasper_AL,Alabama,33.8514,-87.2719,13812,397.1302418642425,68,25,51215.818,No
Paragould_AR,Arkansas,36.0561,-90.5149,26617,619.4211739723474,67,50,51432.169,Yes
Eagle Pass_TX,Texas,28.7118,-100.4832,54091,236.08546734961607,174,198,52040.902,Yes
Hopkinsville_KY,Kentucky,36.8388,-87.4789,32733,602.5172143527806,61,14,52154.5,No
San Luis Obispo_CA,California,35.2671,-120.6689,62391,11.738385508774572,245,2691,52886.203,Yes
Hobbs_NM,New Mexico,32.7281,-103.1597,41021,588.4574470083026,161,124,52967.155,Yes
Stillwater_OK,Oklahoma,36.1315,-97.074,48233,714.7500524972587,268,8521,53158.356,Yes
Ocean View_DE,Delaware,38.5357,-75.0991,13612,3.600971618527098,235,1342,53236.953,Yes
Porterville_CA,California,36.0636,-119.0332,76512,197.44274271666166,163,334,53285.182,Yes
Leavenworth_KS,Kansas,39.3225,-94.9246,46445,986.5690471021122,176,655,53304.825,Yes
Atoka_TN,Tennessee,35.4229,-89.7862,20478,552.099151254599,157,701,53336.826,Yes
Manhattan_KS,Kansas,39.1883,-96.605,57442,995.7636598502148,289,6834,53439.682,Yes
Swansboro_NC,North Carolina,34.6958,-77.1357,19459,0.6004000967824922,147,156,53468.102,Yes
Oswego_NY,New York,43.4516,-76.5005,38208,248.71990468813866,243,2638,53788.814,Yes
Claremore_OK,Oklahoma,36.3143,-95.6101,25826,696.3093947605308,124,307,53912.527,Yes
Paradise_CA,California,39.7558,-121.6063,35163,160.35373115191538,122,1899,54258.046,Yes
Corvallis_OR,Oregon,44.5697,-123.2781,65465,43.51312057816577,270,32490,54791.796,Yes
Crossville_TN,Tennessee,35.9526,-85.0294,17335,433.92078743769315,184,818,54871.778,Yes
Petaluma_CA,California,38.2423,-122.6267,66940,14.078670843786547,247,4651,55180.657,Yes
Wisconsin Rapids_WI,Wisconsin,44.393,-89.8262,28406,919.8551808199925,161,263,55594.278,Yes
Lewes_DE,Delaware,38.7784,-75.1455,27008,1.1642927378076626,296,9000,55619.849,Yes
Lancaster_OH,Ohio,39.7249,-82.6049,43726,398.15794855985365,177,475,55735.179,Yes
Frankfort_KY,Kentucky,38.1924,-84.8644,39034,578.5462203759686,177,921,55870.342,Yes
Hutchinson_KS,Kansas,38.0672,-97.9083,43507,907.0080361281118,173,191,55935.642,Yes
